date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,medianTxValue(USD),medianFee,averageDifficulty,paymentCount,blockSize,blockCount
2015-09-07,263577.430301,263577.430301,5702,94585300.0,1.3,489014.0,25460.46875,9.25642239587,1632,2.58247321941,0.00105,6.33914109289e+12,5363,3638068,4834,
2015-09-08,329645.075737,329645.075737,5622,91020700.0,1.25,427892.0,25888.75,10.379926302,1545,2.88617124654,0.00105,6.07700493254e+12,5395,3738463,4923,
2015-09-09,1426044.96808,1426044.96808,5604,90518300.0,1.24,366748.0,26431.40625,9.84060106916,1543,2.48,0.00105,6.20206684953e+12,5304,3849882,5035,
2015-09-10,249301.081565,249301.081565,5341,88230500.0,1.21,662782.0,26444.21875,7.9258071708,1539,2.7442995778,0.00105,6.28958794904e+12,5094,3651888,5003,
2015-09-11,843445.926968,843445.926968,6460,85144300.0,1.16,1942600.0,27238.59375,8.87672815268,1701,2.3368914502,0.00105,6.56178791085e+12,6226,3783308,5141,
2015-09-12,215278.739215,215278.739215,5596,72179000.0,0.987228,772430.0,26402.34375,11.3548331935,1544,1.9822198769,0.00105,6.83263991571e+12,5270,3826914,5026,
2015-09-13,233899.954496,233899.954496,6057,76193600.0,1.04,644138.0,26171.40625,9.57872567392,1598,1.59530121258,0.00105,7.02205060722e+12,5737,3795663,4971,
2015-09-14,252012.348897,252012.348897,5572,68814400.0,0.940566,741085.0,25588.125,9.9015484194,1622,1.88465423221,0.00105,6.62627331724e+12,5247,3740946,4851,
2015-09-15,1053264.72492,1053264.72492,5409,64052400.0,0.875189,703390.0,25615.3125,8.42699714528,1486,1.74960154107,0.00105,6.41852330569e+12,5168,3657282,4842,
2015-09-16,523583.14265,523583.14265,5872,68963300.0,0.941977,615593.0,26318.125,15.1466170778,1510,1.86277650045,0.00105,6.17910881456e+12,5679,3660494,4956,
2015-09-17,268368.722163,268368.722163,5368,66415200.0,0.906865,897940.0,25435.625,8.55652379146,1517,2.3128289069,0.00105,6.04042271868e+12,5102,3622311,4808,
2015-09-18,357505.753565,357505.753565,5802,64071300.0,0.874574,484622.0,25894.21875,11.8348210662,1462,1.75156085784,0.00105,5.65272781726e+12,5336,3836279,4889,
2015-09-19,332401.248822,332401.248822,5205,62262700.0,0.849603,386988.0,27187.1875,7.98220437293,1367,1.61438582343,0.00105,5.54829130147e+12,4938,3730754,5078,
2015-09-20,115961.753358,115961.753358,6402,64600000.0,0.881191,508314.0,27982.65625,10.9696454718,1466,1.433437059,0.00105,6.20228837204e+12,6116,4063431,5305,
2015-09-21,148500.22265,148500.22265,6305,69045900.0,0.941496,424039.0,26651.875,10.1807419409,1521,1.33667762922,0.00105,6.54147596149e+12,5967,3952585,5075,
2015-09-22,178940.213487,178940.213487,6804,67444200.0,0.919337,487914.0,26370.3125,11.4041451759,1535,1.05921795016,0.00105,6.62402677968e+12,6552,4076071,5051,
2015-09-23,118751.540822,118751.540822,7404,66309600.0,0.90356,200541.0,27080.3125,10.7002671048,1737,1.09565058529,0.00105,6.89537500716e+12,7107,4049670,5165,
2015-09-24,276025.736054,276025.736054,6224,65836400.0,0.896796,842505.0,26385.78125,10.3195062665,1569,1.75745730024,0.00105,7.02921723989e+12,5981,3924670,5021,
2015-09-25,543791.251017,543791.251017,5851,60221400.0,0.820031,903457.0,27003.4375,9.83659491613,1536,1.66992594636,0.00105,6.97708257062e+12,5539,3931914,5126,
2015-09-26,187117.521983,187117.521983,5907,54188900.0,0.73763,369620.0,25910.3125,9.28914647862,1420,1.2804149101,0.00105,7.2268506199e+12,5687,3770114,4930,
2015-09-27,303405.105027,303405.105027,5760,58149600.0,0.791277,413801.0,25011.09375,8.42387045044,1417,1.36448257991,0.00105,7.25290651503e+12,5648,3459118,4773,
2015-09-28,520229.408384,520229.408384,6123,53201800.0,0.723715,1320890.0,24714.21875,9.27234660931,1545,1.44751907484,0.00105,6.74709618757e+12,5882,3578200,4738,
2015-09-29,234644.806136,234644.806136,5738,42607700.0,0.579414,913992.0,24364.6875,8.87732842075,1532,1.16528196218,0.00105,6.05728250351e+12,5498,3536519,4640,
2015-09-30,367367.264438,367367.264438,5870,48636600.0,0.661192,619926.0,25097.5,8.38532711572,1490,1.41858244486,0.00105,5.62525228298e+12,5664,3529196,4757,
2015-10-01,425540.887368,425540.887368,6421,54032300.0,0.734307,596084.0,27422.03125,8.76794946345,1473,1.47116313206,0.00105,5.65288253406e+12,6194,3860006,5210,
2015-10-02,101909.963624,101909.963624,6063,50328700.0,0.683732,219318.0,26913.125,9.76529666285,1375,1.26191609281,0.00105,5.98173181727e+12,5784,3975887,5143,
2015-10-03,83481.7269461,83481.7269461,6112,49981900.0,0.678783,163326.0,26453.75,9.79164836446,1389,1.18896277938,0.00105,6.29081231129e+12,5849,3902443,5077,
2015-10-04,293448.464384,293448.464384,6624,50556000.0,0.686343,103497.0,25480.15625,9.4319257859,1393,0.833886266834,0.00105,6.20573966228e+12,6389,3790759,4886,
2015-10-05,109314.176379,109314.176379,6279,49131600.0,0.666784,234263.0,26136.875,11.4867735072,1409,1.25618859695,0.00105,6.28459111585e+12,5887,3863990,5009,
2015-10-06,315285.51484,315285.51484,6458,45863300.0,0.622218,262674.0,25036.5625,9.99529995355,1415,0.93697825048,0.00105,6.27647035393e+12,6123,3753597,4806,
2015-10-07,201810.283064,201810.283064,7121,47964700.0,0.650515,218327.0,26133.59375,12.1829899207,1373,0.88858224418,0.00105,5.9835377154e+12,6697,4043948,5004,
2015-10-08,191066.731219,191066.731219,6926,44955900.0,0.609501,310266.0,26778.4375,11.9729333683,1330,0.918967654921,0.00105,5.97778444487e+12,6586,4063481,5152,
2015-10-09,146975.74865,146975.74865,6763,48334900.0,0.655084,386420.0,25451.40625,11.3092183843,1366,1.04431321075,0.00105,6.12263161431e+12,6499,3822655,4905,
2015-10-10,82536.4863829,82536.4863829,6529,47325200.0,0.641187,141555.0,25499.6875,11.3828116171,1266,0.935897425516,0.00105,6.03158204294e+12,6319,3808059,4896,
2015-10-11,95953.5974372,95953.5974372,6023,46327500.0,0.627461,102128.0,26507.03125,8.99879459915,1300,0.902100869586,0.00105,6.13949833988e+12,5849,3795610,5073,
2015-10-12,172115.376764,172115.376764,6593,46864200.0,0.634515,109567.0,26803.75,10.7038073208,1335,1.22644302832,0.00105,6.14500274025e+12,6229,4053860,5148,
2015-10-13,258249.909687,258249.909687,6818,46395200.0,0.627943,303044.0,26668.28125,12.3232487996,1475,1.21340382637,0.00105,6.35669205771e+12,6419,4178104,5108,
2015-10-14,608804.985813,608804.985813,6830,45250600.0,0.61224,971664.0,25875.625,11.8319985211,1566,1.01254807502,0.00105,6.482464933e+12,6502,3903622,4934,
2015-10-15,430352.571279,430352.571279,6499,38688300.0,0.523278,371022.0,25610.46875,18.8703438617,1496,0.824300244403,0.00105,6.20936451356e+12,6002,4059761,4926,
2015-10-16,204035.305696,204035.305696,6795,41608900.0,0.562593,249891.0,25441.40625,21.1794465456,1366,0.765311549107,0.00105,5.81490177091e+12,6353,4037655,4883,
2015-10-17,130451.111606,130451.111606,6567,39515900.0,0.534117,313860.0,26450.625,12.2914624458,1355,0.836240200932,0.00105,6.00420109075e+12,6213,3983584,5056,
2015-10-18,100824.508371,100824.508371,6481,40550400.0,0.547913,133690.0,25848.28125,13.1130126021,1345,0.800320761122,0.00105,5.97391893202e+12,6005,4015728,4945,
2015-10-19,266585.311509,266585.311509,6604,38321300.0,0.517621,243742.0,25966.71875,11.6992191396,1452,0.735832916578,0.00105,5.9216067872e+12,6179,3989491,4975,
2015-10-20,245668.720604,245668.720604,5897,36261200.0,0.489629,383921.0,26192.5,11.5270197988,1314,0.987134387531,0.00105,5.83497768813e+12,5625,3842397,4990,
2015-10-21,300892.790563,300892.790563,6182,31973600.0,0.431589,609085.0,26046.40625,10.1558577347,1521,0.874864508677,0.00105,5.8756569732e+12,5853,3862938,4990,
2015-10-22,277738.192362,277738.192362,5979,32977300.0,0.444988,924822.0,25330.78125,13.2005048379,1389,0.905038941697,0.00105,5.73448916858e+12,5272,3781867,4835,
2015-10-23,461615.547242,461615.547242,6888,41986400.0,0.56637,878822.0,27554.84375,13.7479413918,1523,1.14371186973,0.00105,5.87881048962e+12,6124,4302628,5263,
2015-10-24,53939.4236085,53939.4236085,6361,40022100.0,0.539681,258356.0,27118.75,10.6966382172,1635,1.0861586022,0.00105,6.28828068319e+12,5687,3984632,5171,
2015-10-25,148297.694256,148297.694256,5830,41781300.0,0.563207,635384.0,26814.21875,9.07951212616,1497,1.2242103738,0.00105,6.58925341766e+12,5355,3825113,5096,
2015-10-26,443466.658196,443466.658196,5938,45991300.0,0.619743,1089120.0,25912.1875,10.7732671216,1655,1.40812637486,0.00105,6.54103990521e+12,5615,3757017,4908,
2015-10-27,1372436.68823,1372436.68823,6784,52624300.0,0.70889,1846370.0,27529.375,18.9028975784,1706,1.9225896038,0.00105,6.5417501155e+12,6308,4253235,5220,
2015-10-28,854745.514233,854745.514233,7346,64676600.0,0.870938,2373050.0,26344.6875,10.8986966301,1700,1.5843548873,0.00105,6.84579197369e+12,6376,4013532,4967,
2015-10-29,842095.345012,842095.345012,7836,74675600.0,1.01,2279240.0,27510.78125,12.55075174,1974,2.03680958351,0.00105,7.04008396019e+12,6849,4200572,5158,
2015-10-30,1471879.91657,1471879.91657,7941,89857400.0,1.21,2429200.0,27720.15625,13.4663216604,2219,2.44839804756,0.00105,7.42861021355e+12,7475,4085921,5232,
2015-10-31,290451.178,290451.178,7557,77800300.0,1.05,673892.0,27751.5625,15.4824256005,1987,2.1253422435,0.00105,7.79288708997e+12,7044,4164422,5129,
2015-11-01,134392.468104,134392.468104,6915,68477200.0,0.920847,588913.0,28180.15625,16.1702610684,2131,2.17601476233,0.00105,7.78065821719e+12,6442,4041277,5158,
2015-11-02,377379.385297,377379.385297,6558,78701400.0,1.06,1145200.0,27134.21875,10.3960139727,2039,2.971903715,0.00105,7.68975013044e+12,6153,3914620,5024,
2015-11-03,591838.205165,591838.205165,7399,74010000.0,0.994568,1907690.0,27605.78125,12.2403509899,2066,2.28115450503,0.00105,7.33278527289e+12,6917,4292035,5085,
2015-11-04,820219.087797,820219.087797,7037,75232400.0,1.01,3060340.0,27716.40625,9.39285695059,2039,2.77553626173,0.00105,7.74258666368e+12,6769,3906926,5125,
2015-11-05,347969.556089,347969.556089,7498,67070700.0,0.900699,1179840.0,27291.40625,10.5938905244,1914,1.86731041425,0.00105,7.5824893249e+12,7105,4150754,5103,
2015-11-06,2136224.92181,2136224.92181,7882,67397100.0,0.904772,913666.0,27422.1875,15.9362701566,1807,1.13735413796,0.00105,7.59223226129e+12,6069,4175396,5142,
2015-11-07,1153505.06488,1153505.06488,10996,68833200.0,0.923732,890187.0,26715.3125,32.0799197933,2067,0.0904129395923,0.00105,7.54991458972e+12,6323,4945717,4922,
2015-11-08,897529.376003,897529.376003,12413,68254300.0,0.915661,1021460.0,27289.0625,29.5268788824,2271,0.175594249733,0.00105,7.70928770183e+12,9227,5096742,5021,
2015-11-09,1755591.93246,1755591.93246,7689,76991800.0,1.03,2045290.0,27059.53125,11.2631029194,2060,2.0952414824,0.00105,7.75409831725e+12,7161,3948544,5024,
2015-11-10,895669.106797,895669.106797,8151,74685300.0,1.0,854581.0,27444.0625,15.3511926283,1826,1.69077954,0.00105,7.76000172624e+12,7655,4213239,5053,
2015-11-11,287706.301749,287706.301749,10217,70236200.0,0.941296,1278580.0,27819.0625,23.0767913282,2033,0.998911052653,0.00105,7.67324044243e+12,8510,5249976,5028,
2015-11-12,227016.840774,227016.840774,9534,59448700.0,0.796455,806156.0,28032.03125,25.8891012018,1807,0.973069692705,0.00105,7.74619415764e+12,8316,4439332,5079,
2015-11-13,463697.633032,463697.633032,7891,67777000.0,0.907722,543671.0,28185.15625,14.5833024649,1805,1.6030941114,0.00105,7.87006134323e+12,7401,4134803,5119,
2015-11-14,282826.642948,282826.642948,7211,67631900.0,0.905469,372514.0,28357.65625,18.5340335117,1797,1.92611024318,0.00105,7.91316739856e+12,6807,4806663,5127,
2015-11-15,181379.190446,181379.190446,7170,66590200.0,0.891217,411848.0,28120.15625,11.4839740926,1759,1.9608956203,0.00105,8.25950540495e+12,6846,4142543,5195,
2015-11-16,466898.642578,466898.642578,7442,67730700.0,0.906166,620945.0,27395.15625,10.2696359731,1867,1.97233748215,0.00105,8.32705309827e+12,7032,3940618,5039,
2015-11-17,1870147.8496,1870147.8496,7145,69157900.0,0.924948,1145440.0,27793.59375,9.59682965058,1901,2.07180503816,0.00105,8.15308261547e+12,6825,3935388,5163,
2015-11-18,577499.732999,577499.732999,7373,74287700.0,0.993214,681104.0,27252.03125,10.3214753974,1859,2.06588512,0.00105,8.54964385479e+12,7061,3926943,5075,
2015-11-19,274068.185668,274068.185668,8876,73976100.0,0.988713,443528.0,26563.4375,15.8639395135,1864,1.30442061401,0.00105,8.80654177936e+12,6867,4389232,4977,
2015-11-20,186009.740741,186009.740741,6348,71532500.0,0.955735,614335.0,25130.46875,11.9868992419,1763,1.91147,0.00105,7.97498811489e+12,5887,3843748,4721,
2015-11-21,124836.259808,124836.259808,6822,69535300.0,0.928758,455976.0,26782.1875,11.2449100626,1710,1.96718128407,0.00105,7.60054569281e+12,6385,4188016,5035,
2015-11-22,250887.066305,250887.066305,7083,73378800.0,0.979765,372173.0,26988.59375,11.2417153263,2015,1.77414867464,0.00105,7.53334865909e+12,6638,4117498,5049,
2015-11-23,673304.135796,673304.135796,8260,72484200.0,0.967493,441875.0,27272.34375,13.3160847179,1738,1.59982856488,0.00105,7.56602005068e+12,6805,4390402,5089,
2015-11-24,373148.126771,373148.126771,7152,70931100.0,0.946442,524195.0,26848.125,12.9664910272,1820,1.9875282,0.00105,7.66456621325e+12,6670,4142949,5001,
2015-11-25,170091.364319,170091.364319,7098,67010200.0,0.893827,622991.0,26471.875,12.4596309917,1710,1.78694278633,0.00105,7.51684753984e+12,6736,3986495,4940,
2015-11-26,845646.247685,845646.247685,7278,64740900.0,0.863273,947473.0,26538.4375,9.30701047999,1804,1.72619782042,0.00105,7.49761177024e+12,6967,3873523,4940,
2015-11-27,1128436.17924,1128436.17924,6639,66174600.0,0.8821,403813.0,27886.875,9.39919261942,1660,1.70893547673,0.00105,7.46969524589e+12,6198,4086725,5174,
2015-11-28,107400.95703,107400.95703,6817,65147000.0,0.868102,462464.0,27201.09375,14.5671305715,1651,2.06588637797,0.00105,7.72077063416e+12,6414,3875629,5008,
2015-11-29,174571.751479,174571.751479,6853,68625100.0,0.914144,448358.0,27350.9375,9.09079211711,1666,1.87650779792,0.00105,7.72148885605e+12,6497,3920100,5050,
2015-11-30,208812.765328,208812.765328,8986,66080400.0,0.879951,784439.0,27360.0,20.8157515377,1782,1.05439421531,0.00126,7.78083770973e+12,6402,4387578,5080,
2015-12-01,212413.964766,212413.964766,6794,65980000.0,0.878316,652857.0,27542.8125,13.0743889446,1763,1.84318858776,0.00105,7.87348934019e+12,6263,4302400,5078,
2015-12-02,261911.884701,261911.884701,6502,65615700.0,0.873171,506307.0,26007.03125,11.4381225322,1673,1.77344282225,0.00105,7.81799975194e+12,5901,3951899,4824,
2015-12-03,185566.704523,185566.704523,6971,61530500.0,0.818546,539969.0,28063.28125,10.666077605,1758,1.78636253199,0.00105,7.58831551879e+12,6531,4050622,5205,
2015-12-04,152756.635442,152756.635442,6898,61065700.0,0.812082,241278.0,26679.375,12.3723423175,1742,1.59710307272,0.00105,7.83302356969e+12,6221,4024546,5008,
2015-12-05,121669.647229,121669.647229,6784,63276000.0,0.841195,232743.0,26581.875,13.0848245148,1716,1.63175279488,0.00105,8.16374069847e+12,6212,4181847,5006,
2015-12-06,210280.220287,210280.220287,9103,65194900.0,0.866417,443608.0,26255.78125,17.1474042232,2006,1.20085578148,0.00105,7.8521149865e+12,8453,4307630,4913,
2015-12-07,379014.092788,379014.092788,7141,62950900.0,0.836322,520409.0,26718.90625,9.64277225226,1952,1.79457910363,0.00105,7.6482504164e+12,6773,3851136,4971,
2015-12-08,167332.806484,167332.806484,6697,60690400.0,0.806024,445903.0,26312.5,9.14620089429,1757,1.65138111681,0.00105,7.54798530795e+12,6341,3786457,4911,
2015-12-09,235236.909118,235236.909118,7001,62098400.0,0.824454,624221.0,28324.0625,10.1369894327,1748,1.74948707403,0.00105,7.35017161703e+12,6591,4056370,5208,
2015-12-10,177769.145397,177769.145397,7444,59945000.0,0.79559,369589.0,27477.34375,11.3409350434,1779,1.45641997175,0.00105,7.77275510382e+12,6704,4218808,5144,
2015-12-11,268369.605488,268369.605488,8105,63312400.0,0.839995,801072.0,27022.8125,16.8524437878,1787,1.36849683814,0.00105,8.06029771315e+12,6775,4476529,5062,
2015-12-12,495197.994154,495197.994154,8205,70210000.0,0.931196,1376280.0,27206.5625,23.1231431759,2152,1.29366835444,0.00114242227046,8.04509354045e+12,6354,4651079,5076,
2015-12-13,316448.919857,316448.919857,7426,73276400.0,0.971538,273614.0,27907.34375,18.7321097127,1967,1.80435425202,0.00105,8.47225875779e+12,6574,4459661,5280,
2015-12-14,695206.283903,695206.283903,15550,72176400.0,0.95662,563436.0,26708.59375,74.6524395615,2186,9.5662e-19,0.00453285,8.57588619774e+12,6653,8758730,4999,
2015-12-15,542037.321649,542037.321649,21098,74764100.0,0.990589,578618.0,27014.53125,114.407858337,2164,9.90589e-19,0.00567428773752,8.76852720604e+12,6755,9300104,5070,
2015-12-16,1604245.09931,1604245.09931,10304,76791600.0,1.02,320767.0,26457.34375,44.2167818748,2153,1.0385778516,0.00126,8.56243762571e+12,6253,6055920,4982,
2015-12-17,438522.089068,438522.089068,9612,74999300.0,0.993043,640765.0,26883.125,32.4010752132,2402,1.43349676591,0.00105,8.73409309227e+12,7190,5328544,5060,
2015-12-18,232376.921358,232376.921358,9032,70890600.0,0.938327,300787.0,26671.5625,32.1814214547,2184,1.24709019431,0.00126,8.77961002475e+12,6407,5306336,5020,
2015-12-19,211146.702983,211146.702983,9314,69644200.0,0.921524,343535.0,26694.53125,28.5162309257,2188,1.29366083448,0.00105,8.71861336397e+12,6954,5084365,5038,
2015-12-20,194173.195672,194173.195672,9879,68663100.0,0.90824,472164.0,26436.09375,34.4271700216,2209,0.95543718205,0.00126,8.53995045753e+12,6353,5458591,4947,
2015-12-21,217412.473219,217412.473219,12063,68521200.0,0.906065,549113.0,26457.8125,39.1191939984,2315,0.558529951759,0.00126,8.51284616983e+12,7008,5829823,4976,
2015-12-22,215207.486752,215207.486752,21027,67704600.0,0.894973,454249.0,27374.375,59.162525717,2312,8.94973e-19,0.0023673,8.74020802245e+12,7450,10489581,5129,
2015-12-23,125607.903618,125607.903618,22740,65215800.0,0.861782,334993.0,27399.375,81.4259907463,2215,0.0,0.00365826302526,8.53191643295e+12,7122,7891935,5112,
2015-12-24,108877.461338,108877.461338,13494,65060000.0,0.859433,354646.0,26686.5625,45.7546378631,2235,0.192943652793,0.00126,8.56850984503e+12,7347,6483604,5018,
2015-12-25,59761.6749802,59761.6749802,9521,65275400.0,0.861993,187114.0,26803.59375,26.5940592965,2159,1.01379652818,0.00105,8.54602769306e+12,7186,5292094,5080,
2015-12-26,130196.315382,130196.315382,10726,65961900.0,0.870766,425282.0,26560.15625,31.2961851884,2284,0.913124951945,0.00123309513642,8.45563981374e+12,7318,5373325,5004,
2015-12-27,69809.2825053,69809.2825053,21867,64650000.0,0.853166,164565.0,26853.75,86.6343450292,2215,0.0,0.00397472548257,8.58875222873e+12,7296,7904787,5018,
2015-12-28,405879.423567,405879.423567,12368,64913200.0,0.856356,235134.0,27057.96875,36.4004906885,2423,0.861170844483,0.00126,8.53188637642e+12,7738,6294793,5081,
2015-12-29,241735.169953,241735.169953,11358,63985600.0,0.843835,215742.0,26661.09375,33.1892110499,2393,0.871049180832,0.00126,8.60543556415e+12,7667,5975584,4981,
2015-12-30,188482.771542,188482.771542,21767,66314200.0,0.874258,604078.0,26736.25,76.1322840017,2363,0.0,0.00329214662988,8.47752770067e+12,6498,7863313,5028,
2015-12-31,382489.083281,382489.083281,10301,69207400.0,0.912098,663994.0,26908.28125,25.0673246473,2578,1.20365161242,0.00105,8.54266951674e+12,8097,5328974,5040,
2016-01-01,324206.495037,324206.495037,8233,70870900.0,0.933712,206062.0,26070.3125,15.6508949367,2350,1.50583699715,0.00105,8.54742316862e+12,7119,4321262,4885,
2016-01-02,246973.223794,246973.223794,9164,71933100.0,0.947401,255504.0,27383.90625,19.3597908119,2410,1.3217296166,0.00105,8.14746623078e+12,7379,4858390,5095,
2016-01-03,350244.587061,350244.587061,9258,71275900.0,0.93843,407632.0,27675.78125,19.4483166825,2454,1.26271701454,0.00105,8.31240505113e+12,7537,4903207,5134,
2016-01-04,150683.489583,150683.489583,9474,73853900.0,0.972045,346245.0,27420.625,21.3104318963,2538,1.23734684086,0.00105,8.33416017975e+12,7525,5000778,5096,
2016-01-05,989846.058532,989846.058532,16430,72442400.0,0.953147,219833.0,27839.21875,60.3564445043,2534,9.53147e-19,0.00312938700356,8.30586208137e+12,7623,7155015,5126,
2016-01-06,512314.349977,512314.349977,17074,72229700.0,0.950028,308791.0,27625.46875,66.5339184502,2645,9.50028e-19,0.0029845,8.42269229247e+12,7940,7902225,5090,
2016-01-07,352178.090215,352178.090215,22075,72692900.0,0.955801,647462.0,27022.1875,65.5065476024,2683,0.0,0.0029813,8.21010804182e+12,8148,7718921,4981,
2016-01-08,199860.177495,199860.177495,10919,71724000.0,0.942752,545600.0,27996.71875,26.0495075445,2610,1.03614139022,0.00105,8.30240042773e+12,8523,5588918,5176,
